"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
1.721878625E0,-6.612140803E0,1.180728257E-1,-8.752048069E-1,6.670856815E0
1.731826625E0,-6.640156567E0,-3.535635889E-2,-7.893518937E-1,6.687002746E0
1.741806625E0,-6.677340766E0,-1.197006905E-1,-6.650968069E-1,6.711450046E0
1.751754625E0,-6.690474197E0,-2.447732180E-1,-6.626485046E-1,6.727663929E0
1.761734625E0,-6.682855275E0,-3.056427330E-1,-7.041871977E-1,6.726801001E0
1.771682625E0,-6.641682106E0,-3.443366826E-1,-8.200994772E-1,6.700975459E0
1.781662625E0,-6.598713257E0,-3.481543297E-1,-9.493194348E-1,6.675734826E0
1.791610625E0,-6.531229956E0,-3.099515462E-1,-1.019188984E0,6.617535862E0
1.801590625E0,-6.445038489E0,-2.519144225E-1,-1.048290649E0,6.534592205E0
1.811538625E0,-6.353545352E0,-1.394280267E-1,-9.764434987E-1,6.429651671E0
1.821515500E0,-6.244550913E0,-1.019052744E-2,-8.714351070E-1,6.305070903E0
1.831464500E0,-6.106533819E0,1.586185884E-1,-7.507882639E-1,6.154559136E0
1.841443500E0,-5.965048158E0,3.470117837E-1,-7.033101153E-1,6.016382785E0
1.851392500E0,-5.797378664E0,5.483670866E-1,-7.427291197E-1,5.870430340E0
1.861371500E0,-5.621217259E0,7.764026499E-1,-8.037687886E-1,5.731224024E0
1.871320500E0,-5.413725888E0,1.029645560E0,-8.910495188E-1,5.582344240E0
1.881299500E0,-5.203319095E0,1.302110606E0,-9.140811165E-1,5.441099698E0
1.891248500E0,-4.960997615E0,1.583589136E0,-8.408699566E-1,5.275065324E0
1.901227500E0,-4.698820452E0,1.878376513E0,-7.053993255E-1,5.109285681E0
1.911176500E0,-4.424867581E0,2.190648234E0,-5.137252941E-1,4.964101779E0
1.921155500E0,-4.119798752E0,2.499941384E0,-3.458382475E-1,4.831361379E0
1.931104500E0,-3.803142789E0,2.788390964E0,-2.740554528E-1,4.723782979E0
1.941083500E0,-3.467192475E0,3.059291881E0,-2.442206562E-1,4.630370849E0
1.951032500E0,-3.114582567E0,3.347744969E0,-2.732649457E-1,4.580687140E0
1.961011500E0,-2.746068233E0,3.613969283E0,-3.129347956E-1,4.549680527E0
1.970960500E0,-2.369914949E0,3.852584213E0,-2.957357955E-1,4.532809465E0
1.980939500E0,-1.972427515E0,4.086076983E0,-2.354521716E-1,4.543339425E0
1.990888500E0,-1.559054511E0,4.292884814E0,-8.615113040E-2,4.568033824E0
2.000867500E0,-1.142130567E0,4.457032530E0,6.564960460E-2,4.601511825E0
2.010816500E0,-7.082258695E-1,4.580109403E0,1.682758498E-1,4.637596660E0
2.020795500E0,-2.593491389E-1,4.695849774E0,2.214831734E-1,4.708218545E0
2.030744500E0,2.160285982E-1,4.764958600E0,1.899409533E-1,4.773633457E0
2.040723500E0,6.634473804E-1,4.804836026E0,1.106176348E-1,4.851685061E0
2.050672500E0,1.095749795E0,4.797315338E0,2.611364683E-2,4.920933243E0
2.060651500E0,1.520811967E0,4.764751609E0,-6.113830414E-3,5.001576183E0
2.070600500E0,1.935428673E0,4.688294587E0,4.669933598E-2,5.072294462E0
